OBJECTID,businessUnit_name,businessUnit_number,Description,Type,Address,City,County,State,Postal Code,Operation Status,GlobalID,x,y
38353,"GOSHEN (S), IN",1378,WM Supercenter,Retail,2304 LINCOLNWAY E,GOSHEN,ELKHART,IN,46526-6421,Open,049c0162-27b4-491b-be13-cade010f683d,-9549878.8139,5094834.7312
38354,GREENVILLE NC,1379,WM Supercenter,Retail,210 GREENVILLE BLVD SW,GREENVILLE,PITT,NC,27834-6908,Open,9b508b23-5e25-4006-a9d1-e4b2692a0996,-8614742.4371,4242645.3309
38355,LAS VEGAS NM,1380,WM Supercenter,Retail,2609 7TH ST,LAS VEGAS,SAN MIGUEL,NM,87701-4863,Open,16dac581-94fc-4eff-91b7-1eabb74e9a72,-11713870.8269,4248410.536
38356,"APACHE JUNCTION, AZ",1381,WM Supercenter,Retail,2555 W APACHE TRL,APACHE JUNCTION,PINAL,AZ,85120-5204,Open,c72d343e-fab2-48c2-b26b-b0f79d1f0aaa,-12420510.4792,3950361.4803
38357,GREENWOOD SC,1382,WM Supercenter,Retail,508 NW BYPASS 72,GREENWOOD,GREENWOOD,SC,29649-1300,Open,68b9c524-3f75-4bfc-823a-a303efddc4fd,-9149614.5566,4056791.77
38358,BEAUFORT SC,1383,WM Supercenter,Retail,350 ROBERT SMALLS PKWY,BEAUFORT,BEAUFORT,SC,29906-4284,Open,d37e5f49-0412-4508-bb2e-d4cc1c2d0764,-8987278.1224,3819301.7489
38359,LA JUNTA CO,1384,WM Supercenter,Retail,6 CONLEY RD,LA JUNTA,OTERO,CO,81050-9640,Open,aea82611-3b24-49b5-bf6b-abda61782b9b,-11531949.0641,4579171.6776
38360,GASTONIA NC,1385,WM Supercenter,Retail,3000 E FRANKLIN BLVD,GASTONIA,GASTON,NC,28056-9451,Open,0fe7da3f-d15f-49c3-9fa8-a3cc67475ace,-9030706.4161,4199596.8609
38361,PONTIAC IL,1386,WM Supercenter,Retail,1706 W REYNOLDS ST,PONTIAC,LIVINGSTON,IL,61764-9695,Open,b234e387-b832-4742-af06-a7371bb5aa56,-9869587.7235,4993210.8823
38362,CORAL SPRINGS FL,1387,WM Supercenter,Retail,3801 TURTLE CREEK DR,CORAL SPRINGS,BROWARD,FL,33067-4282,Open,334d5894-6601-48dd-ac16-fa1b546c2d5b,-8928181.2764,3033599.1857
38363,KENDALLVILLE IN,1388,WM Supercenter,Retail,2501 E NORTH ST,KENDALLVILLE,NOBLE,IN,46755-3231,Open,76486081-cab2-41b5-baf5-a5364491fdbf,-9487104.9738,5078610.2627
38364,BOONE IA,1389,WM Supercenter,Retail,1515 SE MARSHALL ST,BOONE,BOONE,IA,50036-7149,Open,c4941d1a-5920-48db-8d4f-97e3235c2cfc,-10449569.6176,5166470.4188
38365,PINELLAS PARK FL,1390,WM Supercenter,Retail,8001 US HIGHWAY 19 N,PINELLAS PARK,PINELLAS,FL,33781-1744,Open,4b9fbe9b-251e-40f9-9249-5b94e431c2a9,-9204436.7342,3229471.9139
38366,DAYTONA BEACH FL,1391,WM Supercenter,Retail,1101 BEVILLE RD,DAYTONA BEACH,VOLUSIA,FL,32119-1604,Open,95a4d3b2-4e36-4a85-9278-80033233627a,-9020209.6561,3397633.18
38367,WILMINGTON (N) NC,1392,WM Supercenter,Retail,5226 SIGMON RD,WILMINGTON,NEW HANOVER,NC,28403-1666,Open,0cde55b1-ebca-402f-bd5b-fd79dede0a69,-8668917.0692,4061352.2082
